size(KB),query_percent,avg_rel_error,avg_query_time
2734.375,0.001,1.0,0.2744
2734.375,0.01,1.0,0.2767
2734.375,0.05,1.0,0.2855
2734.375,0.1,1.0,0.2892
2343.75,0.001,1.0,0.237
2343.75,0.01,1.0,0.24
2343.75,0.05,1.0,0.248
2343.75,0.1,1.0,0.2503
1953.125,0.001,1.0,0.1994
1953.125,0.01,1.0,0.2001
1953.125,0.05,1.0,0.2059
1953.125,0.1,1.0,0.2063
1562.5,0.001,1.0,0.1612
1562.5,0.01,1.0,0.1619
1562.5,0.05,1.0,0.1673
1562.5,0.1,1.0,0.1671
1171.875,0.001,1.0,0.125
1171.875,0.01,1.0,0.1242
1171.875,0.05,1.0,0.1257
1171.875,0.1,1.0,0.1256
781.25,0.001,1.0,0.0854
781.25,0.01,1.0,0.0857
781.25,0.05,1.0,0.0876
781.25,0.1,1.0,0.0866

