size(KB),query_percent,avg_rel_error,avg_query_time
2343.75,0.001,0.12,0.2517
2343.75,0.01,0.3433,0.2518
2343.75,0.05,0.0535,0.246
2343.75,0.1,0.039,0.2485
2187.5,0.001,0.1203,0.2328
2187.5,0.01,0.3535,0.2352
2187.5,0.05,0.0489,0.2279
2187.5,0.1,0.0406,0.2304
1953.125,0.001,0.1257,0.2104
1953.125,0.01,0.3705,0.212
1953.125,0.05,0.0564,0.2045
1953.125,0.1,0.0384,0.2082
1562.5,0.001,0.1437,0.1707
1562.5,0.01,0.2903,0.1708
1562.5,0.05,0.0623,0.1639
1562.5,0.1,0.0369,0.1643
1406.25,0.001,0.1495,0.1575
1406.25,0.01,0.2939,0.1556
1406.25,0.05,0.0685,0.1507
1406.25,0.1,0.0353,0.1516
1171.875,0.001,0.1631,0.1301
1171.875,0.01,0.3211,0.1296
1171.875,0.05,0.064,0.125
1171.875,0.1,0.0503,0.125
