size(KB),query_percent,avg_rel_error,avg_query_time
2343.75,0.001,0.0805,0.1573
2343.75,0.01,0.0449,0.1545
2343.75,0.05,0.0145,0.153
2343.75,0.1,0.0072,0.1551
2187.5,0.001,0.0844,0.146
2187.5,0.01,0.0477,0.1425
2187.5,0.05,0.0139,0.1427
2187.5,0.1,0.0067,0.1433
1953.125,0.001,0.087,0.1314
1953.125,0.01,0.0393,0.1291
1953.125,0.05,0.0151,0.1253
1953.125,0.1,0.0075,0.1252
1796.875,0.001,0.0916,0.1235
1796.875,0.01,0.0427,0.1192
1796.875,0.05,0.0159,0.1168
1796.875,0.1,0.0072,0.1169
1562.5,0.001,0.0998,0.1076
1562.5,0.01,0.0484,0.1059
1562.5,0.05,0.0167,0.1044
1562.5,0.1,0.0072,0.1029
1406.25,0.001,0.1072,0.0989
1406.25,0.01,0.0446,0.0948
1406.25,0.05,0.0188,0.0932
1406.25,0.1,0.0077,0.0941
1171.875,0.001,0.1236,0.0848
1171.875,0.01,0.0542,0.0819
1171.875,0.05,0.0208,0.0805
1171.875,0.1,0.0092,0.0809
