size(KB),query_percent,avg_rel_error,avg_query_time
7812.5,0.001,0.0308,0.8027
7812.5,0.01,0.0103,0.7887
7812.5,0.05,0.0049,0.8286
7812.5,0.1,0.0029,0.8415
7031.25,0.001,0.0342,0.7309
7031.25,0.01,0.0107,0.7144
7031.25,0.05,0.0056,0.7553
7031.25,0.1,0.0034,0.7641
6250.0,0.001,0.0345,0.6410
6250.0,0.01,0.0116,0.6269
6250.0,0.05,0.0060,0.6636
6250.0,0.1,0.0037,0.6756
5468.75,0.001,0.0375,0.5708
5468.75,0.01,0.0130,0.5680
5468.75,0.05,0.0064,0.5827
5468.75,0.1,0.0041,0.5934
4687.5,0.001,0.0415,0.4857
4687.5,0.01,0.0144,0.474
4687.5,0.05,0.0075,0.4971
4687.5,0.1,0.0052,0.5053
3906.25,0.001,0.0522,0.4056
3906.25,0.01,0.0154,0.3954
3906.25,0.05,0.0077,0.4148
3906.25,0.1,0.0051,0.4215
3125.0,0.001,0.0609,0.3469
3125.0,0.01,0.0177,0.3213
3125.0,0.05,0.0074,0.3387
3125.0,0.1,0.0039,0.3451
2343.75,0.001,0.0585,0.2535
2343.75,0.01,0.0273,0.2459
2343.75,0.05,0.0086,0.2553
2343.75,0.1,0.0049,0.2586
