method,size(KB),avg_rel_error,avg_query_time,t2medium_avg_query_time
DeepMapping++,3116.18,0.0015,0.000308,0.000398
DeepMapping++,2935.49,0.0015,0.000302,0.000399
DeepMapping++,2680.0,0.0018,0.000306,0.000392
DeepMapping++,2228.83,0.0029,0.000297,0.000384
DeepMapping++,1771.61,0.0047,0.000293,0.000387
DeepMapping++,1260.94,0.0076,0.000279,0.000376
DeepMapping++,849.86,0.01,0.000283,0.000366
VerdictDB,3219.56,0.1109,0.014674,0.023057
VerdictDB,2800.78,0.1554,0.012954,0.022596
VerdictDB,2428.77,0.1747,0.012686,0.023041
VerdictDB,2118.81,0.1217,0.01241,0.020068
VerdictDB,1734.38,0.119,0.011536,0.020436
VerdictDB,1394.53,0.2486,0.011261,0.022404
VerdictDB,1057.82,0.2551,0.010903,0.020486
DBEst++,3202.01,0.9016,0.0200,0.0226
DBEst++,2908.81,0.8988,0.0205,0.0226
DBEst++,2721.15,0.8984,0.0203,0.0223
DBEst++,2279.36,0.901,0.0201,0.0224
DBEst++,1800.76,0.8994,0.0206,0.0216
DBEst++,1250.14,0.9017,0.0198,0.0227
DBEst++,850.37,0.8997,0.0199,0.0224
