size(KB),query_percent,avg_rel_err,avgtime
850.37,0.05,0.8991,0.0197
850.37,0.1,0.8997,0.0199
850.37,0.15,0.8997,0.0199
1250.14,0.05,0.9014,0.0197
1250.14,0.1,0.9017,0.0198
1250.14,0.15,0.9014,0.0198
1800.76,0.05,0.8985,0.0204
1800.76,0.1,0.8994,0.0206
1800.76,0.15,0.8993,0.02
2279.36,0.05,0.8997,0.02
2279.36,0.1,0.901,0.0201
2279.36,0.15,0.9014,0.02
2721.15,0.05,0.8973,0.02
2721.15,0.1,0.8984,0.0203
2721.15,0.15,0.8986,0.0201
2908.81,0.05,0.8976,0.0204
2908.81,0.1,0.8988,0.0205
2908.81,0.15,0.8991,0.0205
3202.01,0.05,0.9011,0.0199
3202.01,0.1,0.9016,0.02
3202.01,0.15,0.9016,0.0203
