query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,3214.34,3214.34,0,0.164,0.013014
0.1,3214.34,3214.34,0,0.1145,0.009305
0.15,3214.34,3214.34,0,0.0974,0.009596
0.05,2984.38,2984.38,0,0.1478,0.0124
0.1,2984.38,2984.38,0,0.0804,0.009026
0.15,2984.38,2984.38,0,0.0691,0.009462
0.05,2770.62,2770.62,0,0.1703,0.011943
0.1,2770.62,2770.62,0,0.1042,0.009011
0.15,2770.62,2770.62,0,0.0658,0.009083
0.05,2040.53,2040.53,0,0.193,0.01079
0.1,2040.53,2040.53,0,0.1383,0.007865
0.15,2040.53,2040.53,0,0.1165,0.007873
0.05,1765.62,1765.62,0,0.2113,0.010932
0.1,1765.62,1765.62,0,0.1441,0.006725
0.15,1765.62,1765.62,0,0.0931,0.006469
0.05,1382.81,1382.81,0,0.267,0.010294
0.1,1382.81,1382.81,0,0.2226,0.007255
0.15,1382.81,1382.81,0,0.178,0.00706
0.05,1125.56,1125.56,0,0.3163,0.010153
0.1,1125.56,1125.56,0,0.1469,0.007729
0.15,1125.56,1125.56,0,0.1127,0.00698
0.05,656.25,656.25,0,0.4604,0.009091
0.1,656.25,656.25,0,0.2986,0.006952
0.15,656.25,656.25,0,0.2255,0.006772
