method,size(KB),avg_rel_error,avg_query_time,t2medium_avg_query_time
DeepMapping++,2116.53,0.0106,0.00052,0.00039
DeepMapping++,2085.51,0.0130,0.00052,0.00039
DeepMapping++,2039.19,0.0182,0.00052,0.00038
DeepMapping++,2004.13,0.0226,0.00052,0.00039
DeepMapping++,1834.80,0.0530,0.00051,0.00039
DeepMapping++,1603.84,0.1098,0.00052,0.00038
DeepMapping++,1243.12,0.2373,0.00051,0.00037
DeepMapping++,1107.44,0.3349,0.00042,0.00037
VerdictDB,2343.75,0.0390,0.2485,0.2672
VerdictDB,2187.50,0.0406,0.2304,0.2499
VerdictDB,1953.13,0.0384,0.2082,0.2233
VerdictDB,1562.50,0.0369,0.1643,0.1823
VerdictDB,1406.25,0.0353,0.1516,0.1639
VerdictDB,1171.88,0.0503,0.1250,0.1379
DBEst++,2539.75,1,0.0195,0.0219
DBEst++,2113.57,1,0.0193,0.0216
DBEst++,1876.62,1,0.0192,0.0219
DBEst++,1726.46,1,0.0192,0.0215
DBEst++,1378.42,1,0.0190,0.0217
DBEst++,1250.14,1,0.0190,0.0214
