size(KB),query_percent,avg_rel_error,avg_query_time
1107.46,0.05,2.5142,0.000275
1107.46,0.1,0.3197,0.000276
1107.46,0.15,0.1946,0.000275
1243.12,0.05,1.9506,0.000272
1243.12,0.1,0.2285,0.000271
1243.12,0.15,0.1692,0.000271
1362.21,0.05,1.7258,0.000278
1362.21,0.1,0.1801,0.000278
1362.21,0.15,0.1414,0.000278
1603.83,0.05,0.9207,0.000288
1603.83,0.1,0.1124,0.000288
1603.83,0.15,0.0702,0.000287
1834.69,0.05,0.3491,0.000293
1834.69,0.1,0.0567,0.000293
1834.69,0.15,0.0268,0.000293
2004.21,0.05,0.0809,0.000298
2004.21,0.1,0.0221,0.000297
2004.21,0.15,0.0125,0.000297
2116.53,0.05,0.0238,0.000299
2116.53,0.1,0.0106,0.000298
2116.53,0.15,0.0072,0.0003
1107.45,0.05,2.5143,0.000366
1107.45,0.1,0.3197,0.000367
1107.45,0.15,0.1946,0.000367
1243.12,0.05,1.9506,0.000372
1243.12,0.1,0.2285,0.00037
1243.12,0.15,0.1692,0.000369
1362.22,0.05,1.7259,0.000375
1362.22,0.1,0.1801,0.000371
1362.22,0.15,0.1414,0.000372
1603.83,0.05,0.9208,0.00038
1603.83,0.1,0.1124,0.00038
1603.83,0.15,0.0702,0.000378
1834.69,0.05,0.3491,0.000382
1834.69,0.1,0.0567,0.000381
1834.69,0.15,0.0268,0.000378
2004.2,0.05,0.0809,0.000388
2004.2,0.1,0.0221,0.000386
2004.2,0.15,0.0125,0.000388
2116.55,0.05,0.0238,0.000385
2116.55,0.1,0.0106,0.000385
2116.55,0.15,0.0072,0.000387
