query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,2006.61,2006.61,0,0.5526,0.010207
0.1,2006.61,2006.61,0,0.4964,0.007476
0.15,2006.61,2006.61,0,0.4842,0.008661
0.05,1996.31,1996.31,0,1.4186,0.010402
0.1,1996.31,1996.31,0,0.845,0.006986
0.15,1996.31,1996.31,0,0.7818,0.007945
0.05,1859.38,1859.38,0,0.6441,0.010521
0.1,1859.38,1859.38,0,0.4959,0.008176
0.15,1859.38,1859.38,0,0.3684,0.007642
0.05,1720.9,1720.9,0,0.6152,0.009765
0.1,1720.9,1720.9,0,0.5272,0.007801
0.15,1720.9,1720.9,0,0.4972,0.007943
0.05,1390.62,1390.62,0,1.5456,0.010079
0.1,1390.62,1390.62,0,1.2568,0.006701
0.15,1390.62,1390.62,0,0.7758,0.006977
0.05,1242.31,1242.31,0,0.6266,0.01032
0.1,1242.31,1242.31,0,0.545,0.007577
0.15,1242.31,1242.31,0,0.524,0.007222
0.05,1135.98,1135.98,0,0.7259,0.010221
0.1,1135.98,1135.98,0,0.676,0.007269
0.15,1135.98,1135.98,0,0.6582,0.007281
