method,size(KB),avg_rel_error,avg_query_time,t2medium_avg_query_time
DeepMapping++,2854.64,0.0078,0.0003,
DeepMapping++,2996.76,0.0069,0.000302,
DeepMapping++,3201.38,0.0057,0.000313,
DeepMapping++,3434.5,0.004,0.000308,
DeepMapping++,3641.11,0.0026,0.000318,
DeepMapping++,3809.31,0.0019,0.000319,
DeepMapping++,3978.33,0.0013,0.00033,
DeepMapping++,4148.63,0.001,0.000315,
VerdictDB,2838.02,0.186,0.010908,
VerdictDB,3167.66,0.1826,0.011173,
VerdictDB,3393.75,0.1388,0.011425,
VerdictDB,3419.72,0.1899,0.011918,
VerdictDB,3595.92,0.1845,0.01213,
VerdictDB,3670.09,0.2208,0.01208,
VerdictDB,3833.03,0.1619,0.012293,
VerdictDB,4051.31,0.1518,0.012408,
DBEst++,2814.2,1.0,0.0197,
DBEst++,3004.98,1.0,0.0197,
DBEst++,3202.01,1.0,0.0197,
DBEst++,3405.29,1.0,0.0197,
DBEst++,3614.82,1.0,0.0196,
DBEst++,3830.61,1.0,0.0196,
DBEst++,3940.84,1.0,0.0196,
DBEst++,4166.00,1.0,0.0197,
