size(KB),query_percent,avg_rel_error,avg_query_time
4148.63,0.05,0.0017,0.000316
4148.63,0.1,0.001,0.000315
4148.63,0.15,0.0006,0.000316
3978.33,0.05,0.0027,0.000331
3978.33,0.1,0.0013,0.00033
3978.33,0.15,0.0008,0.00033
3809.31,0.05,0.0047,0.00032
3809.31,0.1,0.0019,0.000319
3809.31,0.15,0.0011,0.000318
3641.11,0.05,0.0089,0.000319
3641.11,0.1,0.0026,0.000318
3641.11,0.15,0.0016,0.000318
3434.5,0.05,0.0141,0.00031
3434.5,0.1,0.004,0.000308
3434.5,0.15,0.0024,0.000308
3201.38,0.05,0.0189,0.000313
3201.38,0.1,0.0057,0.000313
3201.38,0.15,0.0031,0.000312
2996.76,0.05,0.0226,0.000304
2996.76,0.1,0.0069,0.000302
2996.76,0.15,0.0038,0.000304
2854.64,0.05,0.0245,0.0003
2854.64,0.1,0.0078,0.0003
2854.64,0.15,0.0043,0.000299
