query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,2838.02,2838.02,0,0.1894,0.012973
0.1,2838.02,2838.02,0,0.186,0.010908
0.15,2838.02,2838.02,0,0.1856,0.010737
0.05,3167.66,3167.66,0,0.178,0.013682
0.1,3167.66,3167.66,0,0.1826,0.011173
0.15,3167.66,3167.66,0,0.1825,0.011164
0.05,3393.75,3393.75,0,0.1478,0.013593
0.1,3393.75,3393.75,0,0.1388,0.011425
0.15,3393.75,3393.75,0,0.1427,0.011362
0.05,3419.72,3419.72,0,0.2051,0.014259
0.1,3419.72,3419.72,0,0.1899,0.011918
0.15,3419.72,3419.72,0,0.1944,0.011808
0.05,3595.92,3595.92,0,0.1902,0.01305
0.1,3595.92,3595.92,0,0.1845,0.01213
0.15,3595.92,3595.92,0,0.1793,0.012179
0.05,3670.09,3670.09,0,0.2246,0.013717
0.1,3670.09,3670.09,0,0.2208,0.01208
0.15,3670.09,3670.09,0,0.2169,0.012793
0.05,3833.03,3833.03,0,0.169,0.013371
0.1,3833.03,3833.03,0,0.1619,0.012293
0.15,3833.03,3833.03,0,0.1585,0.012485
0.05,4051.31,4051.31,0,0.1576,0.016095
0.1,4051.31,4051.31,0,0.1518,0.012408
0.15,4051.31,4051.31,0,0.1534,0.013634
