method,size(KB),avg_rel_error,avg_query_time,t2medium_avg_query_time
DeepMapping++,5847.28,0.0059,0.000337,
DeepMapping++,6085.01,0.0034,0.000337,
DeepMapping++,6307.84,0.0029,0.000343,
DeepMapping++,6578.75,0.0023,0.000341,
DeepMapping++,6807.57,0.0018,0.000354,
DeepMapping++,7010.03,0.0015,0.000353,
DeepMapping++,7438.41,0.001,0.00036,
DeepMapping++,7857.89,0.0007,0.000365,
VerdictDB,5569.97,0.1668,0.016939,
VerdictDB,5920.25,0.154,0.017369,
VerdictDB,6188.58,0.1674,0.017941,
VerdictDB,6519.53,0.1691,0.018277,
VerdictDB,7002.09,0.1496,0.022061,
VerdictDB,7009.13,0.188,0.022436,
VerdictDB,7679.79,0.1473,0.023873,
VerdictDB,8020.57,0.1442,0.024059,
DBEst++,5781.86,0.9988,0.0199,
DBEst++,6053.89,0.9988,0.0199,
DBEst++,6332.17,0.9988,0.0198,
DBEst++,6616.70,0.9989,0.0198,
DBEst++,6907.48,0.9989,0.0205,
DBEst++,7355.37,0.9988,0.0198,
DBEst++,7507.79,0.9988,0.0199,
DBEst++,7817.32,0.9988,0.02,
DBEst++,7974.43,0.9988,0.0199,
