size(KB),query_percent,avg_rel_error,avg_query_time
5847.28,0.05,0.0123,0.000342
5847.28,0.1,0.0059,0.000337
5847.28,0.15,0.0042,0.000338
6085.01,0.05,0.0057,0.000334
6085.01,0.1,0.0034,0.000337
6085.01,0.15,0.0023,0.000337
6307.84,0.05,0.0048,0.000347
6307.84,0.1,0.0029,0.000343
6307.84,0.15,0.002,0.000343
6578.75,0.05,0.004,0.000346
6578.75,0.1,0.0023,0.000341
6578.75,0.15,0.0015,0.000341
6807.57,0.05,0.0033,0.000357
6807.57,0.1,0.0018,0.000354
6807.57,0.15,0.0013,0.000353
7010.03,0.05,0.0026,0.000353
7010.03,0.1,0.0015,0.000353
7010.03,0.15,0.0011,0.000351
7438.41,0.05,0.0017,0.000365
7438.41,0.1,0.001,0.00036
7438.41,0.15,0.0007,0.000359
7857.89,0.05,0.0011,0.000366
7857.89,0.1,0.0007,0.000365
7857.89,0.15,0.0005,0.000365
4545.94,0.05,0.016,0.000326
4545.94,0.1,0.0082,0.000319
4545.94,0.15,0.0054,0.000319
