query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,8020.57,8020.57,0,0.1428,0.024258
0.1,8020.57,8020.57,0,0.1442,0.024059
0.15,8020.57,8020.57,0,0.1446,0.024653
0.05,7679.79,7679.79,0,0.1454,0.026469
0.1,7679.79,7679.79,0,0.1473,0.023873
0.15,7679.79,7679.79,0,0.146,0.023415
0.05,7009.13,7009.13,0,0.1871,0.0239
0.1,7009.13,7009.13,0,0.188,0.022436
0.15,7009.13,7009.13,0,0.186,0.022425
0.05,7002.09,7002.09,0,0.1486,0.023502
0.1,7002.09,7002.09,0,0.1496,0.022061
0.15,7002.09,7002.09,0,0.1463,0.022191
0.05,6519.53,6519.53,0,0.1686,0.021507
0.1,6519.53,6519.53,0,0.1691,0.018277
0.15,6519.53,6519.53,0,0.1678,0.018718
0.05,6188.58,6188.58,0,0.1659,0.018905
0.1,6188.58,6188.58,0,0.1674,0.017941
0.15,6188.58,6188.58,0,0.1695,0.018081
0.05,5920.25,5920.25,0,0.1544,0.017945
0.1,5920.25,5920.25,0,0.154,0.017369
0.15,5920.25,5920.25,0,0.1549,0.016378
0.05,5569.97,5569.97,0,0.1662,0.018748
0.1,5569.97,5569.97,0,0.1668,0.016939
0.15,5569.97,5569.97,0,0.1663,0.016583
