method,size(KB),avg_rel_error,avg_query_time,t2medium_avg_query_time
DeepMapping++,2294.15,0.0013,0.000315,0.000412
DeepMapping++,1998.71,0.0064,0.000309,0.000412
DeepMapping++,1652.82,0.0261,0.000301,0.000404
DeepMapping++,1411.7,0.0435,0.000301,0.000394
DeepMapping++,1228.4,0.0506,0.000299,0.00039
DeepMapping++,1069.32,0.0599,0.000299,0.000398
VerdictDB,2184.05,0.1445,0.011301,0.024113
VerdictDB,2058.5,0.1517,0.011239,0.023012
VerdictDB,1693.75,0.1845,0.011306,0.021905
VerdictDB,1564.45,0.1873,0.011685,0.021897
VerdictDB,1410.16,0.269,0.010963,0.021679
VerdictDB,1144.0,0.2567,0.010901,0.021247
DBEst++,2364.59,0.8982,0.0201,0.0222
DBEst++,2033.03,0.9009,0.0201,0.0223
DBEst++,1653.71,0.8975,0.0202,0.0222
DBEst++,1444.9,0.8993,0.0202,0.0225
DBEst++,1250.14,0.8962,0.02,0.0223
DBEst++,1069.43,0.8978,0.02,0.0227
