size(KB),query_percent,avg_rel_err,avgtime
1069.43,0.05,0.8913,0.02
1069.43,0.1,0.8978,0.02
1069.43,0.15,0.8986,0.0199
1250.14,0.05,0.8886,0.02
1250.14,0.1,0.8962,0.02
1250.14,0.15,0.8973,0.0199
1444.9,0.05,0.8954,0.02
1444.9,0.1,0.8993,0.0202
1444.9,0.15,0.8997,0.02
1653.73,0.05,0.8874,0.0199
1653.73,0.1,0.8975,0.0202
1653.73,0.15,0.8988,0.02
2033.03,0.05,0.8956,0.0199
2033.03,0.1,0.9009,0.0201
2033.03,0.15,0.9015,0.0199
2364.59,0.05,0.8924,0.02
2364.59,0.1,0.8982,0.0201
2364.59,0.15,0.8988,0.0199
