size(KB),query_percent,avg_rel_error,avg_query_time
2294.15,0.05,0.0059,0.000316
2294.15,0.1,0.0013,0.000315
2294.15,0.15,0.0006,0.000316
1998.71,0.05,0.0648,0.000309
1998.71,0.1,0.0064,0.000309
1998.71,0.15,0.0032,0.00031
1652.82,0.05,0.2471,0.000301
1652.82,0.1,0.0261,0.000301
1652.82,0.15,0.0089,0.000302
1411.7,0.05,0.3832,0.000299
1411.7,0.1,0.0435,0.000301
1411.7,0.15,0.0146,0.000301
1228.4,0.05,0.4073,0.000297
1228.4,0.1,0.0506,0.000299
1228.4,0.15,0.0183,0.0003
1069.32,0.05,0.4286,0.000298
1069.32,0.1,0.0599,0.000299
1069.32,0.15,0.0227,0.0003
