size(KB),query_percent,avg_rel_error,avg_query_time
2358.54,0.05,0.0025,0.33945
2358.54,0.1,0.0012,0.688961
2358.54,0.15,0.0009,1.034518
1881.18,0.05,0.2766,0.275233
1881.18,0.1,0.1096,0.57244
1881.18,0.15,0.0706,0.871152
1667.6,0.05,0.3737,0.239899
1667.6,0.1,0.2249,0.51443
1667.6,0.15,0.1713,0.77611
1473.92,0.05,0.4679,0.215048
1473.92,0.1,0.3374,0.45234
1473.92,0.15,0.2916,0.691398
1252.13,0.05,0.5787,0.170158
1252.13,0.1,0.4763,0.360268
1252.13,0.15,0.4241,0.571798
1004.38,0.05,0.667,0.143197
1004.38,0.1,0.606,0.28694
1004.38,0.15,0.561,0.461497
2134.45,0.05,0.1314,0.312692
2134.45,0.1,0.0254,0.634686
2134.45,0.15,0.0096,0.970707
