size(KB),query_percent,avg_rel_error,avg_query_time
920.84,0.05,1.9502,0.000254
920.84,0.1,0.1911,0.000254
920.84,0.15,0.0545,0.000245
1127.33,0.05,2.7531,0.000256
1127.33,0.1,0.1979,0.000261
1127.33,0.15,0.0545,0.000245
1382.26,0.05,3.1077,0.000257
1382.26,0.1,0.2045,0.000257
1382.26,0.15,0.0545,0.000249
1536.09,0.05,3.2803,0.000262
1536.09,0.1,0.2071,0.000259
1536.09,0.15,0.0545,0.00025
1741.47,0.05,3.5411,0.000261
1741.47,0.1,0.2149,0.000255
1741.47,0.15,0.0545,0.000249
2073.0,0.05,4.0047,0.000264
2073.0,0.1,0.2323,0.000255
2073.0,0.15,0.0545,0.000242
2255.57,0.05,4.4029,0.000266
2255.57,0.1,0.2466,0.000258
2255.57,0.15,0.0545,0.000244
