query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.1,2184.05,2184.05,0,0.1445,0.011301
0.1,2058.5,2058.5,0,0.1517,0.011239
0.1,2075.28,2075.28,0,0.1665,0.011749
0.1,1693.75,1693.75,0,0.1845,0.011306
0.1,1564.45,1564.45,0,0.1873,0.011685
0.1,1410.16,1410.16,0,0.269,0.010963
0.1,1144.0,1144.0,0,0.2567,0.010901
0.1,844.17,844.17,0,0.2913,0.010492
0.1,2290.75,2290.75,0,0.1092,0.024113
0.1,2147.52,2147.52,0,0.192,0.023012
0.1,1876.7,1876.7,0,0.2019,0.022335
0.1,1965.62,1965.62,0,0.0995,0.023233
0.1,1665.27,1665.27,0,0.1716,0.021897
0.1,1437.5,1437.5,0,0.12,0.021679
0.1,1251.25,1251.25,0,0.3364,0.021247
0.1,1031.77,1031.77,0,0.1681,0.022235
0.05,2355.72,2355.72,0,0.3672,0.011154
0.1,2355.72,2355.72,0,0.1179,0.007617
0.15,2355.72,2355.72,0,0.0803,0.008108
0.05,2087.5,2087.5,0,0.2612,0.010365
0.1,2087.5,2087.5,0,0.1669,0.007789
0.15,2087.5,2087.5,0,0.1491,0.00752
0.05,1988.58,1988.58,0,0.2292,0.010069
0.1,1988.58,1988.58,0,0.1216,0.007494
0.15,1988.58,1988.58,0,0.0936,0.007842
0.05,1865.62,1865.62,0,0.2712,0.010645
0.1,1865.62,1865.62,0,0.1696,0.007397
0.15,1865.62,1865.62,0,0.1444,0.007109
0.05,1560.98,1560.98,0,0.2965,0.010351
0.1,1560.98,1560.98,0,0.2321,0.007097
0.15,1560.98,1560.98,0,0.1967,0.007179
0.05,1460.94,1460.94,0,0.3249,0.009907
0.1,1460.94,1460.94,0,0.1718,0.006729
0.15,1460.94,1460.94,0,0.1166,0.007101
0.05,1278.06,1278.06,0,0.4179,0.009452
0.1,1278.06,1278.06,0,0.2699,0.006512
0.15,1278.06,1278.06,0,0.1757,0.006934
0.05,1083.88,1083.88,0,0.4665,0.009689
0.1,1083.88,1083.88,0,0.2656,0.006853
0.15,1083.88,1083.88,0,0.1848,0.006996
0.05,2314.81,2314.81,0,0.281,0.010724
0.1,2314.81,2314.81,0,0.1505,0.0081
0.15,2314.81,2314.81,0,0.0934,0.007753
0.05,2126.64,2126.64,0,0.2968,0.010555
0.1,2126.64,2126.64,0,0.1364,0.006509
0.15,2126.64,2126.64,0,0.0972,0.007339
0.05,2131.22,2131.22,0,0.225,0.010862
0.1,2131.22,2131.22,0,0.1329,0.007769
0.15,2131.22,2131.22,0,0.1006,0.007768
0.05,1843.75,1843.75,0,0.3123,0.010369
0.1,1843.75,1843.75,0,0.1404,0.007618
0.15,1843.75,1843.75,0,0.1188,0.007516
0.05,1446.25,1446.25,0,0.4505,0.00985
0.1,1446.25,1446.25,0,0.2384,0.006438
0.15,1446.25,1446.25,0,0.2234,0.00697
0.05,1507.81,1507.81,0,0.3866,0.009819
0.1,1507.81,1507.81,0,0.2073,0.007133
0.15,1507.81,1507.81,0,0.1281,0.006913
0.05,1309.34,1309.34,0,0.6331,0.009393
0.1,1309.34,1309.34,0,0.3742,0.007351
0.15,1309.34,1309.34,0,0.2667,0.007352
0.05,1162.04,1162.04,0,0.5397,0.009663
0.1,1162.04,1162.04,0,0.3023,0.006938
0.15,1162.04,1162.04,0,0.1808,0.007306
