query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,2314.81,2314.81,0,0.281,0.010724
0.1,2314.81,2314.81,0,0.1505,0.0081
0.15,2314.81,2314.81,0,0.0934,0.007753
0.05,2126.64,2126.64,0,0.2968,0.010555
0.1,2126.64,2126.64,0,0.1364,0.006509
0.15,2126.64,2126.64,0,0.0972,0.007339
0.05,1843.75,1843.75,0,0.3123,0.010369
0.1,1843.75,1843.75,0,0.1404,0.007618
0.15,1843.75,1843.75,0,0.1188,0.007516
0.05,1446.25,1446.25,0,0.4505,0.00985
0.1,1446.25,1446.25,0,0.2384,0.006438
0.15,1446.25,1446.25,0,0.2234,0.00697
0.05,1507.81,1507.81,0,0.3866,0.009819
0.1,1507.81,1507.81,0,0.2073,0.007133
0.15,1507.81,1507.81,0,0.1281,0.006913
0.05,1309.34,1309.34,0,0.6331,0.009393
0.1,1309.34,1309.34,0,0.3742,0.007351
0.15,1309.34,1309.34,0,0.2667,0.007352
0.05,1162.04,1162.04,0,0.5397,0.009663
0.1,1162.04,1162.04,0,0.3023,0.006938
0.15,1162.04,1162.04,0,0.1808,0.007306
