method,size(KB),avg_rel_error,avg_query_time,t2medium_avg_query_time
DeepMapping++,7762.80,0.0010,0.00050,0.00045
DeepMapping++,7502.74,0.0014,0.00049,0.00045
DeepMapping++,7292.04,0.0018,0.00049,0.00044
DeepMapping++,6510.06,0.0041,0.00049,0.00043
DeepMapping++,5736.58,0.0070,0.00049,0.00042
DeepMapping++,3757.44,0.0157,0.00048,0.00040
DeepMapping++,2676.39,0.0260,0.00047,0.00039
DeepMapping++,2210.94,0.0279,0.00047,0.00038
VerdictDB,7812.50,0.0029,0.8415,0.9009
VerdictDB,7031.25,0.0034,0.7641,0.8127
VerdictDB,6250.00,0.0037,0.6756,0.7247
VerdictDB,5468.75,0.0041,0.5934,0.6333
VerdictDB,4687.50,0.0052,0.5053,0.5457
VerdictDB,3906.25,0.0051,0.4215,0.4558
VerdictDB,3125.00,0.0039,0.3451,0.3686
VerdictDB,2343.75,0.0049,0.2586,0.2785
DBEst++,8133.11,0.8981,0.0193,0.0222
DBEst++,6616.70,0.8981,0.0196,0.0223
DBEst++,5256.54,0.8996,0.0197,0.0218
DBEst++,4052.64,0.8993,0.0201,0.0224
DBEst++,3004.98,0.8996,0.0192,0.0215
DBEst++,2539.75,0.8992,0.0190,0.0219
DBEst++,2113.57,0.8993,0.0190,0.0217
