size(KB),query_percent,avg_rel_err,avgtime
5781.86,0.05,0.02,0.9005
5781.86,0.1,0.0203,0.8998
5781.86,0.15,0.0201,0.8997
6192.25,0.05,0.0198,0.9005
6192.25,0.1,0.0199,0.9003
6192.25,0.15,0.0198,0.9004
6616.7,0.05,0.0195,0.9024
6616.7,0.1,0.0196,0.9025
6616.7,0.15,0.0195,0.9025
6907.48,0.05,0.0195,0.9011
6907.48,0.1,0.0196,0.9008
6907.48,0.15,0.0195,0.9002
7355.37,0.05,0.0195,0.9013
7355.37,0.1,0.0197,0.9021
7355.37,0.15,0.0195,0.902
7507.79,0.05,0.0195,0.9025
7507.79,0.1,0.0196,0.9024
7507.79,0.15,0.0195,0.9023
7661.78,0.05,0.0194,0.8973
7661.78,0.1,0.0196,0.8974
7661.78,0.15,0.0195,0.8969
