query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,8114.64,8114.64,0,0.0849,0.02865
0.1,8114.64,8114.64,0,0.0618,0.024496
0.15,8114.64,8114.64,0,0.0604,0.025605
0.05,7678.8,7678.8,0,0.0931,0.026852
0.1,7678.8,7678.8,0,0.0597,0.024724
0.15,7678.8,7678.8,0,0.0613,0.023841
0.05,7407.81,7407.81,0,0.081,0.025933
0.1,7407.81,7407.81,0,0.0605,0.02259
0.15,7407.81,7407.81,0,0.0576,0.022793
0.05,6799.8,6799.8,0,0.103,0.024279
0.1,6799.8,6799.8,0,0.0963,0.021905
0.15,6799.8,6799.8,0,0.0945,0.021694
0.05,6382.25,6382.25,0,0.0974,0.021536
0.1,6382.25,6382.25,0,0.0869,0.018152
0.15,6382.25,6382.25,0,0.0913,0.018289
0.05,6218.05,6218.05,0,0.0979,0.020434
0.1,6218.05,6218.05,0,0.0841,0.016088
0.15,6218.05,6218.05,0,0.0883,0.015595
0.05,5825.2,5825.2,0,0.1212,0.02082
0.1,5825.2,5825.2,0,0.1011,0.01711
0.15,5825.2,5825.2,0,0.0934,0.016269
0.05,5378.84,5378.84,0,0.1399,0.019177
0.1,5378.84,5378.84,0,0.1151,0.016042
0.15,5378.84,5378.84,0,0.1011,0.015329
